type_name,week,id
Lodge,27,66
Lodge,28,67
Lodge,29,67
Lodge,30,83
Lodge,31,69
Lodge,32,70
Lodge,33,70
Lodge,34,70
Lodge,35,90
Lodge,36,72
Lodge,37,72
Lodge,38,73
Lodge,39,73
Lodge,40,92
Lodge,41,78
Lodge,42,98
Lodge,43,78
Lodge,44,79
Lodge,45,79
Lodge,46,59
Lodge,47,79
Lodge,48,76
Lodge,49,60
Lodge,50,60
Lodge,51,60
Lodge,52,60
Lodge,53,20
Motorhomes,1,180
Motorhomes,2,187
Motorhomes,3,144
Motorhomes,4,192
Motorhomes,5,193
Motorhomes,6,193
Motorhomes,7,199
Motorhomes,8,252
Motorhomes,9,199
Motorhomes,10,200
Motorhomes,11,252
Motorhomes,12,325
Motorhomes,13,216
Motorhomes,14,218
Motorhomes,15,218
Motorhomes,16,223
Motorhomes,17,224
Motorhomes,18,227
Motorhomes,19,229
Motorhomes,20,229
Motorhomes,21,234
Motorhomes,22,234
Motorhomes,23,293
Motorhomes,24,251
Motorhomes,25,251
Motorhomes,26,425
Motorhomes,27,274
Motorhomes,28,274
Motorhomes,29,282
Motorhomes,30,313
Motorhomes,31,287
Motorhomes,32,296
Motorhomes,33,298
Motorhomes,34,304
Motorhomes,35,384
Motorhomes,36,313
Motorhomes,37,324
Motorhomes,38,336
Motorhomes,39,338
Motorhomes,40,436
Motorhomes,41,349
Motorhomes,42,565
Motorhomes,43,366
Motorhomes,44,380
Motorhomes,45,189
Motorhomes,46,161
Motorhomes,47,261
Motorhomes,48,196
Motorhomes,49,166
Motorhomes,50,168
Motorhomes,51,169
Motorhomes,52,178
Motorhomes,53,106
Static Caravans,1,478
Static Caravans,2,523
Static Caravans,3,384
Static Caravans,4,528
Static Caravans,5,529
Static Caravans,6,531
Static Caravans,7,535
Static Caravans,8,680
Static Caravans,9,542
Static Caravans,10,550
Static Caravans,11,695
Static Caravans,12,787
Static Caravans,13,575
Static Caravans,14,577
Static Caravans,15,578
Static Caravans,16,579
Static Caravans,17,579
Static Caravans,18,579
Static Caravans,19,584
Static Caravans,20,585
Static Caravans,21,587
Static Caravans,22,587
Static Caravans,23,732
Static Caravans,24,593
Static Caravans,25,593
Static Caravans,26,953
Static Caravans,27,598
Static Caravans,28,599
Static Caravans,29,603
Static Caravans,30,739
Static Caravans,31,615
Static Caravans,32,635
Static Caravans,33,635
Static Caravans,34,638
Static Caravans,35,795
Static Caravans,36,651
Static Caravans,37,661
Static Caravans,38,679
